series_id,series_name,hit,imdb
250888,پیشنس,96,7.7
249881,موسیقی متن فیلم سپر بلا,0,6.8
250035,موسیقی متن فیلم درون و بیرون,0,None
251325,رینگو,76,None
251200,بهشت,85,8
12469,پیکی بلایندرها,96,8.8
251221,واتسون,74,5.2
247376,دنیای بارنی ,67,6.1
250687,ریچارد رامیرز: نوارهای شبگرد,89,6.7
250951,عاشقان گمنام,62,7
251065,کشف عشق,92,8.1
239596,خانم شب و روز,95,7.6
250848,کشف بزرگ,84,7.1
240238,ابر دایناسور,80,8.6
250184,موسیقی متن فیلم ددپول و ولورین,78,7.6
249743,موسیقی متن فیلم بتمن,0,7.8
250696,نیمه شب با امیرحسین قیاسی,92,None
248563,کماندوهای هیولایی,88,7.8
249910,موسیقی متن فیلم درون و بیرون ۲,0,None
249922,ازازیل,79,None
245536,فصل شکار: ندای طبیعت,82,7.9
249829,موسیقی متن فیلم جاودانگان,0,6.3
250445,تظاهر,94,7.1
250508,تعویض دنده,0,6.1
250489,گوش به زنگ,88,7.7
247498,نشانی از محبت,94,7.8
249239,تالار گرگ,0,6.4
250140,موسیقی متن فیلم کنت مونت کریستو,0,7.6
243933,تولیدات رویایی,93,7.6
250119,موزارت: ظهور یک نابغه,93,7.1
250148,نخستین آمریکایی,93,8.2
249739,موسیقی متن سریال نل یاغی,0,7.4
241460,ریک و مورتی: انیمه,50,2.9
242000,کتاب خوانی بلویی,73,7.8
249802,لاکربی: جستجوی حقیقت,93,8.1
247040,مکس و نیمچه شوالیه ها,84,7.9
249680,نامرئی,79,7
249502,کنت مونت کریستو,92,7.8
243767,گربه های بزرگ ۲۴/۷,90,8.2
246059,موسیقی متن سریال قتل مری فاگان,0,7.4
249326,پرونده حل نشده: چه کسی جون بنت رمزی را کشت؟,82,6.9
248952,سونامی: مبارزه با زمان,83,8.3
249420,آسیا,86,8.6
249462,بازی های مستر بیست,94,5.6
236656,دنیای ژوراسیک: نظریه آشوب,93,7.5
249084,سرقت شیرین,68,7.2
242057,مرحله مخفی,89,7.5
238612,ملکه اشک ها,95,8.2
249069,واقعیه یا کیکه؟! ویژه کریسمس,75,7
249097,جهان شگفت انگیز,83,None
243824,پتانسیل بالا,95,7.6
142128,اسب های آرام,89,8.3
249095,اردوگاه لازلو,82,6.4
248650,برنامه ایلان ماسک,80,6.3
249050,۱۹۹۲,76,5.6
248983,تو گریه نکن استانبول,77,7.7
246879,زودیاک صحبت می کند,87,7.2
164577,شاهزاده‌ تنیس ۲: جام جهانی زیر ۱۷ سال,96,7.1
248833,صد سال تنهایی,87,8.4
248490,دکستر: گناه اصلی,92,8.4
247277,کراس,89,7.2
248743,قتل های میسلتو,85,7.8
248611,صندوق,87,7.1
248576,فاخته های سیاه,91,7.2
248508,شکنجه,82,7.4
242762,سیندرلا در ۲ بامداد,87,6.9
248441,شکل دادن به منسون,0,5.8
248551,زمین پایدار,86,6
246896,جعبه آبی,92,7.8
242109,زامبی ها,84,8.1
248466,سنا,97,8.5
248315,لیگ برتر عربستان: شروع بازی,85,7.2
248335,اقیانوس های ما,90,7.5
246565,پاسخ ۱۹۹۷,84,7.9
245274,آقای مک ماهون,86,7.7
240961,جنگ ستارگان: خدمه اسکلت,85,7.4
248376,مرد نفوذی,79,7.8
248258,محله داخلی چینی ها,0,7.1
248224,جنون,80,6.5
245649,سازمان,92,7.3
237844,کمپ اسنوپی,92,7.8
246342,موسیقی متن فیلم جک ریچر: هرگز برنگرد,0,6.2
247243,به خانه نیا ,86,7.4
247891,مسابقه مجدد,91,7.3
246345,موسیقی متن فیلم استوارت کوچولو,0,6
247918,حرفی نزن,74,8.4
246778,آموزش بازیگری با ساموئل ال جکسون,88,None
245015,رانما ۱/۲,87,8
246348,موسیقی متن سریال اوبی وان کنوبی,0,7
246351,موسیقی متن بازی فضای مرده ۳,0,7.5
247142,آموزش عادت های کوچک با تاثیرات بزرگ بر زندگی شما با جیمز کلیر,94,None
195359,روان درمانی,92,8
245188,منطقه پرخطر,74,7.3
247903,قتل آگاهانه,85,7.5
247577,آموزش اندیشیدن مثل یک رئیس و زیستن مثل یک اسطوره با مارتا استوارت,90,None
246081,ناتیلوس,89,6.4
245459,مثل یک اژدها: یاکوزا,70,5.6
246275,شک,89,8.9
247107,مثل آب برای شکلات,86,7.7
246318,مرز خواب,66,7.6
247582,پنج یار شروع کننده,86,7.2
246157,موسیقی متن فیلم دورافتاده,0,7.8
246713,لودویگ,89,8.2
